PROB_TYPE,Unigram Keywords,Bigram Keywords
AUTO DOORS,"glass, securing, shutter, roller, manually, sliding, kit, open, opening, automatic, abloy, closing, assa, door, auto","quote proceed, auto glass, new replacement, component supply, door operator, part total, door perimeter, assa abloy, operation labour, proceed following, test check, supply installation, automatic door, door operation, auto door"
BLDG ACCESSCARDS,"expire, grant, provide, name, add, student, perimeter, unikey, swipe, group, card, staff, student_id, expiry, access","access staff, staff access, following access, team add, access request, end date, student_id access, expiry date, staff id, group expiry, swipe card, swipe access, building access, access group, card access"
BUILDING,"mould, chair, attn, broken, fallen, patch, wall, move, adrian, paint, window, blind, ceiling, tile, fac","ceiling panel, painting per, tony piromalli, ha fallen, refer attachment, ha come, ahead per, request fac, patch paint, carpet tile, attn fac, fac adrian, adrian fac, paint wall, ceiling tile"
CAMPUS ASSIST,"catering, great, venue, hall, nicola, nina, event, client, chair, booking, mobile, field, personnel, table, trestle","field service, client booking, table required, table set, table chair, client access, onsite client, request arrange, personnel request, field team, mobile field, arrange mobile, officer onsite, team officer, trestle table"
CLEANING GENERAL,"enhanced, soap, mop, cleaner, empty, deep, dispenser, vacuumed, bin, vacuum, wipe, cleaned, carpet, cleaning, clean","enhanced cleaning, annual deep, female disabled, clean location, amenity male, check empty, post event, check stock, bin check, time performed, steam clean, clean carpet, event clean, exit clean, deep clean"
CONFIDENTIAL WASTE,"emptying, collection, delivered, paper, elaine, document, secure, full, emptied, empty, iron, mountain, waste, bin, confidential","bin emptied, bin located, full confidential, emptied replaced, bin level, secure bin, bin full, replace confidential, secure document, iron mountain, document bin, empty confidential, confidential bin, waste bin, confidential waste"
CRANES AND HOISTS,"beam, chain, signage, forward, proceed, load, reverse, quarterly, rope, scissor, termination, pendant, crane, sb, hoist","missing lock, quote proceed, sensor check, price gst, frame ha, requires replacing, required replacement, scissor lift, light requires, signage required, per quote, total gst, main switch, safety switch, access equipment"
DECONTAMINATION,"hygiene, nabil, search, preferably, provides, scrubber, natalia, resulted, growth, experienced, bio, mould, treat, consumable, decontamination","room within, space call, mold growing, whs issue, request gjk, fume exhaust, usyd ha, area office, desk chair, alarm switch, staff ha, mould growth, within area, cause issue, issue rectify"
DEPS,"funding, seed, discussion, inquiry, form, enquiry, review, ui, dunn, provost, pathway, project, planning, scoping, deps","end life, plan attached, facility room, management plan, code provided, ui project, per discussion, project request, david dunn, co ui, project inquiry, inquiry form, attached project, planning pathway, deps planning"
DLP,"rubber, dlp, falling, aircon, shutting, ledge, wobbly, come, triggering, phase, ccwm, view, within, readiness, tradesperson","forced false, leak near, upon arrival, shutting properly, call nathan, nathan upon, arm door, come fix, within room, operational readiness, request tradesperson, tradesperson come, readiness phase, phase defect, raised operational"
ELECTRICAL,"look, corrective, investigation, broadspectrum, submitted, michael, turning, moment, happening, wiring, christopher, unknown, downlights, wired, dynalite","light working, investigation required, corrective action, cause fault, equipment type, code fault, broadspectrum corrective, action equipment, material required, estimate repair, fault unknown, room wall, required unknown, issue investigation, wall switch"
ELECTRICAL SERVICES,"rcds, breaker, generator, tripped, kerfoot, circuit, working, electrical, rcd, cb, gpo, electrician, db, power, light","light room, db cb, electrical darlington, light switch, kerfoot linked, ppm rcds, rcds tce, requested peter, peter gardiner, tce requested, provide ppm, send electrician, linked wr, light working, power point"
ELECTRONIC AUTO DOORS,"isnt, shutter, opening, swing, trigger, securing, operates, unplugged, open, subway, kone, sliding, door, automatic, auto","linked request, action asap, food court, internal ha, door closure, open close, secure mode, repair faulty, door sensor, sliding door, button doe, door perimeter, automatic door, auto door, request approved"
ELECTRONIC SECURITY,"changed, breakglass, battery, rg, door, tampered, part, gallagher, controller, state, open, qm, camera, reader, securitas","reader beeping, room qm, low battery, resident room, door internal, free access, state open, reader working, ha changed, changed state, door reader, card reader, request wr, part request, securitas part"
EMERGENCY AND EXIT LIGHTING,"buy, dm, survey, certification, annual, lighting, afss, fitting, stanilite, certifiable, deficiancies, luminaires, exit, eel, emergency","repair emergency, lighting provide, lighting afss, eel fitting, failed fitting, rectification failed, light luminaires, luminaires test, rectify failed, test switch, exit lighting, emergency exit, failed eel, emergency lighting, exit light"
FIRE ISOLATION,"threaded, smith, prasad, interruption, car, smoking, park, guage, ravin, hydrant, underground, midday, creek, blackwattle, clinton","per building, sam baker, system interruption, full function, fire system, approved request, required battery, isolate fire, shut valve, hydrant block, fire mode, creek lane, isolation fire, alarm level, blackwattle creek"
FIRE SERVICES,"mastic, type, fip, critcal, diagram, detector, evacuation, passive, conformance, requires, fire, penetration, critical, non, defect","defect wr, wr defect, requires mastic, equipment id, sealed requires, stopping penetration, passive stopping, penetration sealed, non critcal, critcal defect, evacuation diagram, defect passive, non conformance, critical defect, non critical"
FUME CUPBOARD,"maintenance, fumehood, braided, estimate, cost, dynamic, total, cupboard, labour, bldg, sash, gst, fc, fume, ex","air flow, fume cabinet, fc fume, bldg room, wa bldg, fume cupboard, maintenance wa, room fc, estimate cost, total ex, labour material, material total, gst labour, cost ex, ex gst"
GROUNDS,"object, apprentice, lawn, overgrown, fence, mowed, bollard, trimmed, feature, task, garden, tree, administration, gardener, branch","campus service, request january, queen mary, law lawn, till december, external area, refer attached, wakil garden, upper wakil, december ground, january till, space staff, water feature, maintenance task, tree branch"
GROUNDS|BOUNDARY FENCING,"patron, steel, pot, padlock, grill, worried, community, route, bollard, fencing, silver, boundary, leaning, backyard, fence","area ha, wa reported, brick wall, darlington lane, put place, last night, attached report, ha blown, international house, due heavy, top bottom, house ha, ha cracked, victoria park, usyd avenue"
GROUNDS|CHILD CHILD CENTRE,"mowing, ground, lodged, manage, union, shrub, keeping, pruning, grass, swept, fell, family, cc, childcare, gardener","weeding pruning, mulching spraying, lawn maintenance, shrub ground, control task, cover mulching, hedge pruning, pruning shrub, pruning hedge, ground cover, associated open, request approved, space maintenance, cc area, childcare centre"
GROUNDS|EASTERN AVE FLAG,"clare, ea, business, usu, quad, jason, taking, least, eastern, graduation, delivered, ave, banner, indigenous, flag","service required, co ordinate, open day, friday august, city rd, day event, eastern avenue, van de, time semester, clare van, de wall, reception desk, eastern ave, along eastern, business day"
GROUNDS|EVENTS,"mowing, market, wedding, transient, post, blair, event, mowed, gadigal, pre, lawn, planter, bbq, irrigation, rope","request event, event wedding, green bbq, location quadrangle, quadrangle internal, type wedding, gadigal green, event type, lawn day, internal lawn, planter box, bbq clean, irrigation rope, pre post, post inspection"
GROUNDS|EXTERNAL CLEANING,"courtyard, transient, cleaning, seed, clean, moss, poster, footpath, pressure, leaf, gc, slippery, path, litter, bbq","cleaning equipment, pressure cleaning, wall area, transient lawn, hard surface, request january, clean wall, january december, cleaner service, gc ground, ground cleaner, clean bbq, pressure cleaned, external cleaning, pressure clean"
GROUNDS|EXTERNAL SIGNAGE,"hit, distancing, attched, soft, owned, aside, ssb, beach, city, caution, direction, flag, assigned, sign, written","raised behalf, clare van, de wall, potential trip, space office, general clean, event site, surrounding area, parramatta rd, city road, security ha, side front, building sign, replaced soon, sign ha"
GROUNDS|FENCE BANNER,"ideally, mobility, butlin, road, york, city, retaining, fest, presence, global, ross, boardwalk, fence, parramatta, banner","ha made, front desk, hall saturday, fest request, ross street, near main, usyd avenue, welcome fest, ground team, event location, parramatta rd, retaining wall, city road, parramatta road, ha cut"
GROUNDS|FOOTPATHS,"walkway, pathway, loose, slab, crossing, lifted, unstable, trip, stone, paving, pavement, hazard, uneven, pavers, paver","high traffic, seymour centre, light night, put bucket, pit lid, outside building, psu ha, put place, pedestrian crossing, image attached, signage place, ha placed, potential trip, causing trip, trip hazard"
